date,temperature_2m_max
1940-05-06 00:00:00+00:00,81.6251
1940-05-07 00:00:00+00:00,80.4551
1940-05-08 00:00:00+00:00,82.9751
1940-05-09 00:00:00+00:00,88.7351
1940-05-10 00:00:00+00:00,83.2451
1940-05-11 00:00:00+00:00,86.6651
1940-05-12 00:00:00+00:00,82.1651
1940-05-13 00:00:00+00:00,81.8051
1940-05-14 00:00:00+00:00,80.9951
1940-05-15 00:00:00+00:00,85.045105
1940-05-16 00:00:00+00:00,85.675095
1940-05-17 00:00:00+00:00,85.4951
1940-05-18 00:00:00+00:00,85.5851
1940-05-19 00:00:00+00:00,87.3851
1940-05-20 00:00:00+00:00,87.655106
1940-05-21 00:00:00+00:00,88.9151
1940-05-22 00:00:00+00:00,91.7051
1940-05-23 00:00:00+00:00,92.155106
1940-05-24 00:00:00+00:00,87.0251
1940-05-25 00:00:00+00:00,85.5851
1940-05-26 00:00:00+00:00,86.2151
1940-05-27 00:00:00+00:00,85.045105
1940-05-28 00:00:00+00:00,87.0251
1940-05-29 00:00:00+00:00,85.5851
1940-05-30 00:00:00+00:00,85.045105
1940-05-31 00:00:00+00:00,84.1451
1940-06-01 00:00:00+00:00,81.3551
1940-06-02 00:00:00+00:00,81.8051
1940-06-03 00:00:00+00:00,82.2551
1940-06-04 00:00:00+00:00,81.8051
1940-06-05 00:00:00+00:00,81.6251
1940-06-06 00:00:00+00:00,84.1451
1940-06-07 00:00:00+00:00,82.795105
1940-06-08 00:00:00+00:00,83.3351
1940-06-09 00:00:00+00:00,84.9551
1940-06-10 00:00:00+00:00,85.405106
1940-06-11 00:00:00+00:00,84.9551
1940-06-12 00:00:00+00:00,84.505104
1940-06-13 00:00:00+00:00,86.3051
1940-06-14 00:00:00+00:00,86.6651
1940-06-15 00:00:00+00:00,86.1251
1940-06-16 00:00:00+00:00,85.675095
1940-06-17 00:00:00+00:00,84.59511
1940-06-18 00:00:00+00:00,85.675095
1940-06-19 00:00:00+00:00,87.2051
1940-06-20 00:00:00+00:00,89.2751
1940-06-21 00:00:00+00:00,89.8151
1940-06-22 00:00:00+00:00,89.6351
1940-06-23 00:00:00+00:00,88.6451
1940-06-24 00:00:00+00:00,91.34511
1940-06-25 00:00:00+00:00,89.905106
1940-06-26 00:00:00+00:00,87.5651
1940-06-27 00:00:00+00:00,89.7251
1940-06-28 00:00:00+00:00,89.3651
1940-06-29 00:00:00+00:00,89.6351
